Table 6.5C. Full-Time Equivalent Employees by Industry
Table 6.5C. Full-Time Equivalent Employees by Industry
"Last Revised on: July 30, 2021"
Line,,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
68,"            Health services",6365,6680,6988,7292,7657,7918,8137,8315,8569,8752,8883,9005,9131
69,"            Legal services",800,835,821,819,826,835,836,833,841,856,881,902,917
70,"            Educational services",1445,1488,1510,1554,1638,1682,1730,1782,1825,1882,1972,2046,2126
71,"            Social services and membership organizations",2851,3035,3188,3464,3363,3515,3649,3814,3924,4081,4296,4493,4670
72,"                Social services",1369,1464,1547,1637,1727,1827,1939,2047,2119,2218,2348,2491,2618
73,"                Membership organizations",1482,1571,1641,1827,1636,1688,1710,1767,1805,1863,1948,2002,2052
74,"            Other services4",2196,2357,2456,2388,2437,2509,2557,2715,2863,3001,3175,3290,3480
75,"            Private households",712,825,811,803,858,850,821,835,828,834,882,862,833
76,"    Government",17642,18045,18372,18422,18338,18281,18290,18396,18408,18532,18701,18844,19101
77,"        Federal",5336,5354,5345,5260,5060,4829,4659,4527,4376,4270,4205,4162,4171
78,"            General government",4487,4498,4486,4411,4240,4047,3866,3724,3575,3477,3417,3370,3391
79,"                Civilian",2156,2176,2221,2198,2181,2135,2051,1986,1913,1870,1846,1821,1844
80,"                Military5",2331,2322,2265,2213,2059,1912,1815,1738,1662,1607,1571,1549,1547
81,"            Government enterprises",849,856,859,849,820,782,793,803,801,793,788,792,780
82,"        State and local",12306,12691,13027,13162,13278,13452,13631,13869,14032,14262,14496,14682,14930
83,"            General government",11499,11862,12171,12295,12442,12598,12735,12946,13104,13326,13548,13726,13961
84,"                Education",5918,6112,6252,6310,6381,6484,6601,6774,6892,7075,7234,7372,7572
85,"                Other2",5581,5750,5919,5985,6061,6114,6134,6172,6212,6251,6314,6354,6389
86,"            Government enterprises2",807,829,856,867,836,854,896,923,928,936,948,956,969
87,Rest of the world6,75,83,82,82,78,365,411,409,377,404,401,441,396

Legend/Footnotes
1. Full-time equivalent employees equals the number of employees on full-time schedules plus the number of employees on part-time schedules converted to a full-time basis. The number of full-time equivalent employees in each industry is the product of the total number of employees and the ratio of average weekly hours per employee for all employees to the average weekly hours per employee on full-time schedules.
"2. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from the private sector to state and local government."
3. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.
"4. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere classified."
5. Includes Coast Guard.
"6. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States."
Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).
